# **************************************
# CV factory defaults
# D23F0001
# **************************************
cv[134]  :   8, 0x08, 0b00001000, *
cv[135]  :   9, 0x09, 0b00001001, *
cv[136]  :  61, 0x3d, 0b00111101, *
cv[137]  :  62, 0x3e, 0b00111110, *
cv[138]  :  63, 0x3f, 0b00111111, *
cv[139]  :  64, 0x40, 0b01000000, *
cv[140]  :  65, 0x41, 0b01000001, *
cv[141]  :  66, 0x42, 0b01000010, *
cv[142]  :  67, 0x43, 0b01000011, *
cv[143]  :  68, 0x44, 0b01000100, *
cv[144]  : 255, 0xff, 0b11111111, *
cv[145]  : 255, 0xff, 0b11111111, *
cv[146]  : 255, 0xff, 0b11111111, *
cv[147]  : 255, 0xff, 0b11111111, *
cv[148]  : 255, 0xff, 0b11111111, *
cv[149]  : 255, 0xff, 0b11111111, *
cv[150]  : 255, 0xff, 0b11111111, *
cv[151]  : 255, 0xff, 0b11111111, *
cv[152]  : 255, 0xff, 0b11111111, *
cv[153]  : 255, 0xff, 0b11111111, *
cv[154]  : 255, 0xff, 0b11111111, *
cv[155]  : 255, 0xff, 0b11111111, *
cv[156]  : 255, 0xff, 0b11111111, *
cv[157]  : 255, 0xff, 0b11111111, *
cv[158]  : ---, ----, ----------, undefined
cv[159]  : ---, ----, ----------, undefined
cv[160]  :   0, 0x00, 0b00000000, *
cv[161]  :   2, 0x02, 0b00000010, *
cv[162]  :   2, 0x02, 0b00000010, *
cv[163]  : 255, 0xff, 0b11111111, *
cv[164]  :   0, 0x00, 0b00000000, *
cv[165]  :   2, 0x02, 0b00000010, *
cv[166]  :   3, 0x03, 0b00000011, *
cv[167]  : 255, 0xff, 0b11111111, *
cv[168]  :   0, 0x00, 0b00000000, *
cv[169]  :   2, 0x02, 0b00000010, *
cv[170]  :   4, 0x04, 0b00000100, *
cv[171]  : 255, 0xff, 0b11111111, *
cv[172]  :   0, 0x00, 0b00000000, *
cv[173]  :   2, 0x02, 0b00000010, *
cv[174]  :   5, 0x05, 0b00000101, *
cv[175]  : 255, 0xff, 0b11111111, *
cv[176]  : 255, 0xff, 0b11111111, *
cv[177]  :   0, 0x00, 0b00000000, *
cv[178]  :   0, 0x00, 0b00000000, *
cv[179]  : 255, 0xff, 0b11111111, *
cv[180]  : 255, 0xff, 0b11111111, *
